task_id,src_endpoint,dst_endpoint,range_begin,range_end,src_ip,src_port,dst_ip,dst_port,packet_size
95d90624-15ee-473d-ba2b-4975e07f2892,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,400,500,10.2.0.145,49914,3.36.70.139,9000,74
95d90624-15ee-473d-ba2b-4975e07f2892,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,400,500,10.2.0.145,49914,3.36.70.139,9000,66
95d90624-15ee-473d-ba2b-4975e07f2892,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,400,500,10.2.0.145,49914,3.36.70.139,9000,775
95d90624-15ee-473d-ba2b-4975e07f2892,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,400,500,10.2.0.145,49914,3.36.70.139,9000,255
95d90624-15ee-473d-ba2b-4975e07f2892,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,400,500,10.2.0.145,49914,3.36.70.139,9000,152
95d90624-15ee-473d-ba2b-4975e07f2892,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,400,500,10.2.0.145,49914,3.36.70.139,9000,66
95d90624-15ee-473d-ba2b-4975e07f2892,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,400,500,10.2.0.145,49914,3.36.70.139,9000,66
1d52ecd2-058f-4bf7-9b22-359de89991f6,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,500,600,10.2.1.147,37700,10.2.0.81,9000,74
1d52ecd2-058f-4bf7-9b22-359de89991f6,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,500,600,10.2.1.147,37700,10.2.0.81,9000,66
1d52ecd2-058f-4bf7-9b22-359de89991f6,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,500,600,10.2.1.147,37700,10.2.0.81,9000,327
1d52ecd2-058f-4bf7-9b22-359de89991f6,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,500,600,10.2.1.147,37700,10.2.0.81,9000,66
1d52ecd2-058f-4bf7-9b22-359de89991f6,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,500,600,10.2.1.147,37700,10.2.0.81,9000,66
1d52ecd2-058f-4bf7-9b22-359de89991f6,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,500,600,10.2.1.147,37706,10.2.0.81,9000,74
1d52ecd2-058f-4bf7-9b22-359de89991f6,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,500,600,10.2.1.147,37706,10.2.0.81,9000,66
1d52ecd2-058f-4bf7-9b22-359de89991f6,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,500,600,10.2.1.147,37706,10.2.0.81,9000,337
1d52ecd2-058f-4bf7-9b22-359de89991f6,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,500,600,10.2.1.147,37706,10.2.0.81,9000,66
1d52ecd2-058f-4bf7-9b22-359de89991f6,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,500,600,10.2.1.147,37706,10.2.0.81,9000,66
1d52ecd2-058f-4bf7-9b22-359de89991f6,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,500,600,10.2.1.147,49074,13.209.96.73,9000,74
1d52ecd2-058f-4bf7-9b22-359de89991f6,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,500,600,10.2.1.147,49074,13.209.96.73,9000,66
1d52ecd2-058f-4bf7-9b22-359de89991f6,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,500,600,10.2.1.147,49074,13.209.96.73,9000,598
