id,job_id,task_id,timestamp,src_ip,dst_ip,src_port,dst_port,packet_size,protocol
414,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.665433+00,10.2.1.147,3.36.70.139,41776,9000,152,TCP
415,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.677978+00,10.2.1.147,3.36.70.139,41776,9000,66,TCP
416,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.678215+00,10.2.1.147,3.36.70.139,41776,9000,66,TCP
417,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,2025-06-04 07:40:58.679466+00,10.2.1.147,10.2.2.174,8080,35630,278,TCP
418,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,2025-06-04 07:40:58.680467+00,10.2.1.147,10.2.2.174,8080,35644,74,TCP
419,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,2025-06-04 07:40:58.68053+00,10.2.1.147,10.2.2.174,8080,35630,66,TCP
420,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,2025-06-04 07:40:58.681242+00,10.2.1.147,10.2.2.174,8080,35644,66,TCP
421,9eab7baa-6bd1-43c1-b27e-b6c895391d82,7c1619f2-fbff-4504-a901-d65e1aa34cff,2025-06-04 07:40:58.682605+00,10.2.1.147,10.2.3.58,42903,53,132,UDP
422,9eab7baa-6bd1-43c1-b27e-b6c895391d82,7c1619f2-fbff-4504-a901-d65e1aa34cff,2025-06-04 07:40:58.682745+00,10.2.1.147,10.2.2.161,46025,53,132,UDP
423,9eab7baa-6bd1-43c1-b27e-b6c895391d82,7c1619f2-fbff-4504-a901-d65e1aa34cff,2025-06-04 07:40:58.691259+00,10.2.1.147,10.2.2.161,52390,53,120,UDP
424,9eab7baa-6bd1-43c1-b27e-b6c895391d82,7c1619f2-fbff-4504-a901-d65e1aa34cff,2025-06-04 07:40:58.691296+00,10.2.1.147,10.2.2.161,41573,53,120,UDP
